rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC000001	858.0	837.0	2350.0	1676.0	460.0	3204.0	5657.0	3356.0	945.0	5600.0	2636.0	3529.0	2015.0	3505.0	778.0	1606.0	1444.0	917.0	1850.0	1718.0	4267.0	1228.0	4993.0	4106.0	728.0	6686.0	6966.0	5501.0	3680.0	4123.0	369.0	497.0	309.0	2296.0	90686.3	1212907.0	1724108.75314
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110033	851.0	990.0	2205.0	1830.0	444.0	2546.0	5544.0	3157.0	941.0	4606.0	2884.0	3358.0	2036.0	3613.0	639.0	1705.0	1247.0	986.0	1575.0	1722.0	3714.0	1293.0	5151.0	3821.0	787.0	5743.0	7289.0	5224.0	3253.0	3739.0	335.0	523.0	295.0	2269.0	86298.1	1152714.0	1551647.39199
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110037	906.0	624.0	1611.0	1514.0	614.0	3416.0	6254.0	3267.0	986.0	4935.0	2446.0	3054.0	2115.0	3615.0	673.0	1500.0	1197.0	940.0	1381.0	1251.0	4199.0	1161.0	4796.0	3768.0	672.0	6382.0	7172.0	5197.0	4040.0	4456.0	340.0	506.0	329.0	2587.0	87895.9	1171647.0	1509521.54337
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110045	964.0	681.0	2129.0	1697.0	383.0	2820.0	6361.0	2946.0	858.0	4518.0	2570.0	2993.0	1938.0	3421.0	678.0	1551.0	1428.0	805.0	1555.0	1582.0	3643.0	1291.0	4921.0	3636.0	640.0	5500.0	7247.0	5189.0	3233.0	3102.0	312.0	466.0	293.0	2065.0	83411.3	1157715.0	1570425.15683
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110056	1057.0	643.0	1872.0	1299.0	391.0	2764.0	5096.0	2922.0	762.0	3932.0	2454.0	2969.0	1970.0	3710.0	577.0	1234.0	1075.0	780.0	1216.0	1517.0	3405.0	1087.0	4100.0	3142.0	618.0	5155.0	6402.0	4590.0	3789.0	3464.0	303.0	416.0	315.0	2058.0	77081.0	1065452.0	1457247.68367
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110062	840.0	660.0	3051.0	1665.0	577.0	3853.0	7071.0	4410.0	925.0	5692.0	2509.0	2993.0	2147.0	4331.0	846.0	1686.0	1582.0	843.0	1858.0	1602.0	4364.0	1284.0	5309.0	4275.0	608.0	6112.0	8448.0	5587.0	4041.0	4006.0	319.0	411.0	365.0	2865.0	97135.1	1334147.0	1750602.55154
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110069	998.0	792.0	1984.0	1350.0	537.0	3223.0	4905.0	3101.0	909.0	4668.0	2416.0	2940.0	1838.0	3479.0	600.0	1543.0	1209.0	788.0	1358.0	1454.0	3802.0	1346.0	4809.0	3880.0	570.0	5901.0	7428.0	5229.0	3900.0	3218.0	320.0	530.0	293.0	2049.0	83365.8	1120212.0	1548427.91005
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110087	782.0	571.0	2137.0	1496.0	442.0	3436.0	4683.0	3137.0	653.0	4981.0	2347.0	2382.0	1937.0	3255.0	602.0	1465.0	1255.0	753.0	1588.0	1330.0	3717.0	933.0	4464.0	3506.0	486.0	4941.0	6578.0	4364.0	3489.0	3205.0	309.0	502.0	277.0	2305.0	78162.9	1050085.0	1417241.90928
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110098	968.0	870.0	3002.0	1766.0	406.0	3352.0	5411.0	3343.0	1019.0	5418.0	2854.0	3540.0	2189.0	3551.0	637.0	1825.0	1441.0	899.0	1754.0	1912.0	4239.0	1436.0	4896.0	4725.0	766.0	5881.0	8174.0	5663.0	3733.0	4271.0	317.0	474.0	344.0	2249.0	93319.7	1229387.0	1679828.85996
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110101	1108.0	739.0	2049.0	1769.0	516.0	3570.0	7682.0	3769.0	1135.0	5090.0	2109.0	3690.0	1514.0	3929.0	719.0	1567.0	1262.0	794.0	1725.0	1695.0	4467.0	1426.0	5555.0	4864.0	543.0	5770.0	7269.0	5657.0	4255.0	4325.0	403.0	600.0	443.0	2438.0	94446.5	1244731.0	1762765.142
