lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC000001	2.507	2.632	2.86	1.748	3.444	2.789	2.483	2.852	2.314	2.221	2.79	1.871	2.642	2.945	2.549	2.329	2.764	2.971	2.654	1.583	2.125	2.474	2.664	2.365	2.831	2.591	2.864	2.277	2.932	2.574	3.005	3.732	2.558	3.072	2.56553	1212907.0	1724108.75314
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110033	2.564	2.484	2.777	1.698	3.625	2.885	2.48	2.856	2.243	2.187	2.908	1.972	2.451	3.125	2.932	2.622	2.674	2.708	2.448	1.295	2.267	2.585	2.793	2.546	3.076	2.459	2.952	2.317	2.963	2.832	2.747	3.524	2.472	3.075	2.6008	1152714.0	1551647.39199
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110037	2.456	3.197	2.689	1.676	3.168	2.828	2.383	2.891	2.945	2.169	2.745	1.956	2.359	2.926	2.769	2.479	2.61	2.613	2.581	1.6	2.051	2.571	2.732	2.501	3.327	2.421	2.935	2.239	3.006	2.613	2.656	3.299	2.472	3.046	2.5666	1171647.0	1509521.54337
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110045	2.816	2.929	2.946	2.064	3.132	3.02	2.75	3.073	2.581	2.441	2.926	2.301	2.708	3.336	2.923	2.704	2.856	3.143	2.78	1.491	2.514	2.698	3.019	2.614	3.213	2.609	2.962	2.54	3.15	2.958	3.065	3.831	2.646	3.025	2.79423	1157715.0	1570425.15683
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110056	2.63	2.589	2.758	2.322	3.016	3.052	2.706	3.064	2.408	2.354	2.767	2.285	2.582	3.013	3.061	2.67	2.79	2.742	2.637	1.592	2.321	2.558	2.923	2.631	2.994	2.412	3.026	2.506	3.162	2.85	2.745	3.407	2.905	2.966	2.71092	1065452.0	1457247.68367
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110062	2.727	2.769	2.759	2.256	3.313	2.964	2.784	3.042	2.795	2.504	2.801	2.322	2.456	3.159	2.815	2.612	2.854	2.896	2.826	1.673	2.278	2.768	2.748	2.653	2.907	2.705	2.897	2.451	3.126	2.902	3.314	3.559	2.23	3.177	2.74054	1334147.0	1750602.55154
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110069	2.59	2.655	2.828	1.822	3.125	2.812	2.452	2.747	2.501	2.128	2.716	1.985	2.421	2.855	2.872	2.498	2.547	2.555	2.625	1.596	2.096	2.559	2.636	2.399	2.805	2.465	2.697	2.15	2.906	2.58	2.855	3.616	2.614	2.983	2.51958	1120212.0	1548427.91005
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110087	2.528	2.924	2.752	1.813	3.445	2.874	2.615	2.901	2.651	2.154	2.597	2.109	2.35	3.118	2.98	2.518	2.862	2.852	2.651	1.369	2.291	2.511	2.751	2.591	3.149	2.434	2.999	2.288	2.942	2.774	3.226	4.078	2.434	2.94	2.6263	1050085.0	1417241.90928
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110098	2.681	2.612	2.797	1.849	3.438	2.939	2.594	2.988	2.462	2.332	2.607	2.028	2.59	3.125	3.0	2.591	2.602	2.762	2.518	1.666	2.255	2.449	2.73	2.463	2.754	2.403	2.892	2.384	3.048	2.847	2.577	3.58	2.516	3.161	2.62077	1229387.0	1679828.85996
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110101	2.716	2.476	2.322	1.942	3.525	2.932	2.641	2.709	2.335	2.34	2.613	2.31	2.677	2.837	2.68	2.645	2.64	2.594	2.646	1.828	2.091	2.791	2.45	2.583	2.928	2.501	2.809	2.255	2.766	2.444	2.907	3.683	2.309	3.07	2.55434	1244731.0	1762765.142
