lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-CC321480	2.602	2.609	2.819	1.965	2.28	2.568	2.591	2.721	2.423	2.383	2.43	2.054	2.414	2.838	2.718	2.712	2.662	2.267	2.609	1.865	2.175	2.708	2.73	2.672	2.783	2.561	2.937	2.482	2.693	2.69	2.768	2.852	2.407	2.654	2.58487	1097103.0	1539146.680548
sub-CC410026	2.476	2.608	2.495	1.682	2.631	2.545	2.385	2.512	2.066	2.002	2.539	1.754	2.281	2.616	2.718	1.915	2.297	2.732	2.307	1.547	1.944	2.397	2.253	2.127	2.645	2.108	2.471	2.115	2.479	2.467	2.848	3.233	2.085	2.856	2.28718	1193658.0	1570793.17348
sub-CC410071	2.371	2.545	2.527	1.826	3.556	2.589	2.384	2.769	2.153	2.143	2.486	1.965	2.219	2.801	2.493	2.5	2.521	2.803	2.508	1.649	2.035	2.316	2.635	2.264	2.87	2.34	2.616	2.148	2.535	2.63	2.526	3.459	2.522	2.895	2.42286	942062.0	1387825.359185
sub-CC410292	2.352	2.542	2.686	1.835	2.938	2.652	2.444	2.601	2.108	2.253	2.494	2.191	2.379	2.824	2.627	2.461	2.621	2.573	2.584	1.591	2.195	2.281	2.671	2.459	2.738	2.377	2.638	2.368	2.631	2.58	2.666	3.066	2.348	2.661	2.47533	1082029.0	1442526.332666
sub-CC410392	2.211	2.055	2.407	1.815	3.195	2.645	2.327	2.62	2.026	2.175	2.497	1.947	2.355	2.697	2.532	2.238	2.458	2.455	2.228	1.7	2.05	2.241	2.26	2.209	2.701	2.294	2.658	2.088	2.62	2.506	2.979	3.416	1.998	2.839	2.3615	1232627.0	1792080.469814
sub-CC420163	2.371	2.376	2.406	1.742	3.275	2.701	2.459	2.863	2.325	2.282	2.711	1.817	2.504	2.674	2.553	2.457	2.535	2.642	2.371	1.638	2.141	2.383	2.408	2.339	2.705	2.415	2.563	2.249	2.747	2.502	3.044	2.846	2.531	2.693	2.43874	1093091.0	1516080.703317
sub-CC420822	2.495	2.332	2.695	1.68	2.948	2.697	2.347	2.697	2.334	2.219	2.634	2.086	2.377	2.771	2.619	2.489	2.676	2.724	2.695	1.745	2.291	2.335	2.657	2.264	2.545	2.415	2.739	2.215	2.905	2.591	2.92	3.812	2.394	2.945	2.51242	1271686.0	1713414.443334
sub-CC420839	2.394	2.361	2.456	1.614	2.379	2.615	2.438	2.534	2.162	2.094	2.549	1.794	2.261	2.552	2.004	2.302	2.428	2.679	2.527	1.391	2.135	2.221	2.545	2.31	2.461	2.317	2.626	2.193	2.625	2.454	2.7	3.264	2.292	2.679	2.35767	997359.0	1364456.721348
sub-CC420905	2.881	2.167	2.745	2.012	2.929	2.618	2.697	2.884	2.116	2.31	2.6	2.004	2.424	2.985	2.516	2.244	2.611	2.732	2.587	1.755	2.068	2.352	2.572	2.444	2.509	2.468	2.699	2.455	2.956	2.694	2.621	3.521	2.39	3.047	2.5548	924793.0	1302118.020858
sub-CC510181	2.586	2.228	2.607	1.848	3.235	2.629	2.455	2.812	2.104	2.189	2.394	2.085	2.337	3.025	2.404	2.367	2.529	2.694	2.488	1.723	2.397	2.211	2.655	2.395	2.562	2.414	2.699	2.354	2.799	2.692	2.69	3.89	2.476	2.765	2.5105	1094356.0	1601531.958559
sub-CC510240	2.55	2.349	2.702	1.867	2.899	2.66	2.45	2.819	2.091	2.284	2.642	1.984	2.65	2.693	2.445	2.413	2.652	2.697	2.357	1.701	2.043	2.493	2.495	2.438	2.862	2.533	2.71	2.308	2.761	2.444	3.066	3.478	2.466	3.128	2.49751	1110157.0	1590709.619059
sub-CC510300	2.213	2.736	2.378	1.75	2.902	2.332	2.201	2.605	2.223	2.075	2.565	1.633	2.313	2.494	2.588	2.13	2.176	2.454	2.244	1.424	1.966	2.38	2.421	2.157	2.495	2.27	2.556	2.057	2.466	2.249	2.717	3.15	2.39	2.739	2.27514	981032.0	1472492.02198
sub-CC510426	2.621	2.478	2.329	1.83	3.035	2.562	2.271	2.643	2.244	2.132	2.348	1.826	2.307	2.882	2.435	2.172	2.431	2.488	2.39	1.422	2.036	2.197	2.352	2.211	2.67	2.256	2.466	2.084	2.568	2.495	2.887	3.213	2.288	2.526	2.3271	1065468.0	1524113.552156
sub-CC510607	2.597	2.631	2.679	1.865	3.265	2.801	2.373	2.716	2.398	2.17	2.74	1.95	2.528	2.74	2.912	2.527	2.721	2.989	2.648	1.647	2.169	2.646	2.583	2.395	3.183	2.536	2.832	2.312	2.903	2.51	3.149	3.713	2.675	2.853	2.52048	891790.0	1205823.493727
sub-CC520076	2.162	2.285	2.342	1.707	2.984	2.628	2.194	2.788	2.268	2.013	2.632	1.888	2.383	2.58	2.77	2.005	2.391	2.696	2.313	1.476	1.858	2.267	2.292	1.956	2.496	2.331	2.538	1.936	2.679	2.298	2.532	3.351	2.009	2.782	2.28585	1266602.0	1811447.303197
sub-CC520290	2.413	2.186	2.655	1.834	3.072	2.604	2.433	2.735	2.138	2.215	2.524	2.123	2.438	2.845	2.818	2.347	2.561	2.524	2.5	1.628	2.267	2.247	2.562	2.334	2.656	2.481	2.761	2.286	2.676	2.658	2.673	3.552	2.472	2.707	2.48561	1011821.0	1371437.546661
sub-CC520407	2.189	2.411	2.205	1.747	3.462	2.584	2.18	2.852	1.923	2.04	2.276	1.919	2.333	2.571	2.587	2.071	2.255	2.369	2.498	1.51	1.953	2.299	2.134	2.024	2.648	2.135	2.309	1.85	2.506	2.135	2.507	3.384	1.981	2.519	2.2133	1114288.0	1608131.276809
sub-CC520447	2.336	2.195	2.545	1.956	2.967	2.575	2.4	2.757	2.177	2.251	2.432	1.863	2.41	2.515	2.435	2.319	2.609	2.614	2.562	1.49	2.306	2.242	2.141	2.536	2.669	2.453	2.61	2.313	2.533	2.525	2.793	3.102	2.668	2.663	2.41538	1083829.0	1526450.300472
sub-CC520542	2.411	2.343	2.406	1.856	3.268	2.717	2.354	2.744	1.978	2.003	2.492	1.885	2.341	2.72	2.758	2.158	2.432	2.76	2.286	1.796	2.092	2.154	2.211	2.345	2.72	2.314	2.513	2.169	2.689	2.465	2.675	3.64	2.244	3.097	2.36987	1251496.0	1744833.301439
sub-CC520589	2.356	2.275	2.451	1.773	3.065	2.599	2.287	2.652	2.258	2.128	2.513	1.9	2.384	2.84	2.496	2.439	2.58	2.679	2.436	1.6	2.035	2.265	2.379	2.2	2.739	2.397	2.597	2.152	2.553	2.503	2.758	3.508	2.328	2.704	2.39629	1100753.0	1671793.577769
sub-CC520666	2.454	2.424	2.696	1.822	3.22	2.67	2.487	2.804	2.069	2.303	2.652	1.935	2.42	2.758	2.518	2.405	2.586	2.647	2.239	1.726	2.035	2.426	2.478	2.594	2.653	2.327	2.854	2.386	2.775	2.431	2.82	3.537	2.458	2.813	2.48876	1179510.0	1642420.74923
