rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC120049_ses-P2.long.sub-CC120049_template	937.0	941.0	3191.0	1896.0	459.0	3416.0	7137.0	4205.0	1219.0	6069.0	3596.0	3769.0	2532.0	4327.0	609.0	1740.0	1890.0	1038.0	2309.0	1787.0	4407.0	1545.0	5863.0	4813.0	758.0	7443.0	8647.0	6785.0	4371.0	4327.0	358.0	607.0	466.0	2607.0	106064.0	1390286.0	1870071.400791
sub-CC120065_ses-P2.long.sub-CC120065_template	831.0	725.0	1799.0	1581.0	267.0	2592.0	5142.0	2828.0	983.0	4987.0	2209.0	3714.0	2100.0	3118.0	544.0	1198.0	1121.0	833.0	1454.0	1688.0	3663.0	978.0	4279.0	4130.0	552.0	5502.0	6456.0	5166.0	3658.0	3927.0	297.0	432.0	329.0	2238.0	81320.6	1087429.0	1423359.350881
sub-CC120218_ses-P2.long.sub-CC120218_template	750.0	740.0	2106.0	1626.0	342.0	2759.0	3973.0	2855.0	770.0	4982.0	1921.0	2936.0	1775.0	3033.0	659.0	1363.0	1288.0	703.0	1413.0	1646.0	3569.0	1033.0	4593.0	3130.0	721.0	4889.0	6620.0	4342.0	3412.0	2971.0	300.0	448.0	307.0	2039.0	76011.6	1057231.0	1459034.425683
sub-CC120470_ses-P2.long.sub-CC120470_template	942.0	897.0	2497.0	1815.0	429.0	2816.0	4170.0	3432.0	941.0	4873.0	2856.0	3559.0	2003.0	3676.0	670.0	1364.0	1499.0	821.0	1848.0	1701.0	3288.0	1372.0	3856.0	3384.0	616.0	7858.0	8370.0	3649.0	3593.0	2601.0	398.0	466.0	285.0	1976.0	84519.3	1066464.0	1424541.91794
sub-CC120640_ses-P2.long.sub-CC120640_template	862.0	748.0	2342.0	1678.0	437.0	3205.0	4978.0	3599.0	911.0	5112.0	3194.0	4338.0	2228.0	3440.0	649.0	1607.0	1780.0	795.0	1793.0	1701.0	4568.0	1082.0	5557.0	5091.0	607.0	5822.0	7323.0	7397.0	3745.0	4226.0	328.0	533.0	348.0	2533.0	94555.8	1245341.0	1633229.745201
sub-CC120795_ses-P2.long.sub-CC120795_template	1116.0	1138.0	2025.0	1743.0	303.0	3323.0	6005.0	3739.0	1049.0	5224.0	3212.0	3646.0	2210.0	3991.0	715.0	1698.0	1403.0	1012.0	1682.0	1714.0	4116.0	1480.0	5336.0	4047.0	881.0	6352.0	7826.0	5563.0	4157.0	3549.0	319.0	517.0	324.0	2265.0	93680.8	1206508.0	1615138.233102
sub-CC121428_ses-P2.long.sub-CC121428_template	996.0	796.0	2173.0	1758.0	317.0	2886.0	4877.0	3314.0	986.0	5206.0	2293.0	3352.0	2276.0	3798.0	605.0	1271.0	1264.0	775.0	1337.0	1603.0	3989.0	1436.0	4713.0	3937.0	524.0	6194.0	7297.0	5007.0	3421.0	3692.0	334.0	476.0	314.0	2067.0	85283.1	1191349.0	1585574.766834
sub-CC210023_ses-P2.long.sub-CC210023_template	1253.0	995.0	2118.0	1481.0	465.0	3240.0	5209.0	3347.0	998.0	5446.0	2877.0	3041.0	2266.0	3534.0	685.0	1528.0	1475.0	775.0	1651.0	1129.0	4045.0	1420.0	5593.0	4233.0	841.0	6491.0	7690.0	4554.0	3959.0	4510.0	359.0	470.0	367.0	2560.0	90608.0	1153788.0	1571630.683944
sub-CC210088_ses-P2.long.sub-CC210088_template	692.0	727.0	1467.0	1390.0	325.0	2786.0	4636.0	2781.0	926.0	4691.0	2230.0	2807.0	2014.0	3044.0	630.0	1411.0	1118.0	750.0	1403.0	1469.0	3266.0	1206.0	4484.0	4237.0	659.0	5729.0	6684.0	5244.0	3390.0	3463.0	313.0	444.0	317.0	2197.0	78929.3	1017503.0	1390176.876187
sub-CC220107_ses-P2.long.sub-CC220107_template	886.0	848.0	1976.0	1601.0	334.0	3274.0	5005.0	2827.0	982.0	5665.0	2672.0	3690.0	2151.0	3299.0	624.0	1568.0	1402.0	841.0	1458.0	1795.0	4039.0	1507.0	4767.0	4231.0	646.0	5879.0	6663.0	6221.0	3350.0	3597.0	362.0	538.0	275.0	2250.0	87224.6	1132192.0	1552125.174565
