rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-CC120049_ses-P2.long.sub-CC120049_template	2.58	2.42	2.523	2.046	2.982	2.722	2.525	2.967	2.235	2.256	2.609	2.136	2.282	2.822	2.72	2.558	2.553	2.693	2.543	1.647	2.131	2.502	2.51	2.522	2.698	2.313	2.765	2.257	2.811	2.579	2.591	2.764	2.547	3.111	2.50703	1390286.0	1870071.400791
sub-CC120065_ses-P2.long.sub-CC120065_template	2.711	2.889	2.67	2.195	3.223	2.728	2.54	2.738	2.388	2.311	2.879	2.264	2.343	2.86	2.723	2.838	2.586	2.833	2.538	1.969	2.312	2.473	2.759	2.504	2.888	2.469	2.909	2.358	2.97	2.628	2.808	3.55	2.717	3.111	2.5986	1087429.0	1423359.350881
sub-CC120218_ses-P2.long.sub-CC120218_template	2.883	2.322	2.69	2.041	3.401	2.892	2.763	2.976	2.549	2.325	2.886	2.126	2.42	3.101	3.104	2.857	2.819	2.914	2.757	1.897	2.487	2.578	2.901	2.543	2.666	2.458	2.86	2.579	2.97	2.899	2.929	3.879	2.642	3.128	2.69101	1057231.0	1459034.425683
sub-CC120470_ses-P2.long.sub-CC120470_template	2.568	2.451	2.652	1.786	3.182	2.791	2.549	2.863	2.274	2.111	2.531	2.078	2.609	2.916	2.389	2.318	2.675	2.7	2.637	1.496	2.44	2.27	1.958	2.4	2.73	2.434	2.856	2.301	2.783	2.611	2.872	3.304	2.38	3.099	2.49992	1066464.0	1424541.91794
sub-CC120640_ses-P2.long.sub-CC120640_template	2.819	2.672	2.83	1.956	3.416	2.814	2.718	2.799	2.443	2.32	2.535	2.153	2.612	3.04	2.859	2.822	2.739	3.009	2.614	1.523	2.23	2.722	2.715	2.581	2.791	2.488	2.983	2.456	3.063	2.7	3.072	3.708	2.749	3.034	2.63674	1245341.0	1633229.745201
sub-CC120795_ses-P2.long.sub-CC120795_template	2.809	2.581	2.608	2.103	3.775	2.799	2.615	2.882	2.229	2.358	2.647	2.118	2.411	3.195	2.767	2.459	3.004	2.901	2.768	1.873	2.167	2.527	2.85	2.612	3.08	2.604	2.9	2.344	3.056	2.866	2.811	3.841	2.819	3.14	2.65879	1206508.0	1615138.233102
sub-CC121428_ses-P2.long.sub-CC121428_template	2.88	2.58	2.761	2.134	3.28	2.92	2.765	2.859	2.125	2.594	3.003	2.137	2.703	3.215	2.891	2.895	2.93	3.006	2.714	1.698	2.527	2.421	2.956	2.677	2.833	2.76	3.068	2.552	3.061	2.842	3.167	4.006	2.867	3.152	2.76999	1191349.0	1585574.766834
sub-CC210023_ses-P2.long.sub-CC210023_template	2.695	2.196	2.65	1.693	3.42	2.688	2.489	2.974	2.204	2.19	2.725	1.88	2.492	2.936	2.422	2.507	2.787	2.723	2.588	1.26	2.161	2.26	2.606	2.352	2.663	2.506	2.748	2.25	2.821	2.589	2.763	3.88	2.327	2.913	2.51901	1153788.0	1571630.683944
sub-CC210088_ses-P2.long.sub-CC210088_template	2.747	2.403	2.48	1.882	3.02	2.736	2.551	2.712	2.366	2.319	2.725	2.068	2.44	3.011	2.526	2.599	2.742	2.692	2.448	1.63	2.253	2.431	2.733	2.413	2.655	2.361	2.74	2.368	2.968	2.68	3.075	4.048	2.671	3.008	2.55097	1017503.0	1390176.876187
sub-CC220107_ses-P2.long.sub-CC220107_template	2.534	2.207	2.644	1.884	3.02	2.683	2.582	2.612	2.328	2.164	2.611	2.07	2.377	2.891	2.541	2.561	2.618	2.611	2.458	1.579	2.277	2.376	2.733	2.409	2.63	2.352	2.72	2.286	2.81	2.615	2.471	3.406	2.746	2.852	2.48481	1132192.0	1552125.174565
